Airport_ID,Identifier,Type,Name,Latitude,Longitude,Elevation_Ft,Continent,ISO_Country_Code,ISO_Region,Municipality,Is_Scheduled_Service,GPS_Code,IATA_Code,Local_Code,Home_Link,Wikipedia_Link,Keywords
1687,CYCD,medium_airport,Nanaimo Airport,49.05497022,-123.8698626,92,NA,CA,CA-BC,Nanaimo,TRUE,CYCD,YCD,NA,NA,https://en.wikipedia.org/wiki/Nanaimo_Airport,NA
1688,CYCE,medium_airport,Centralia / James T. Field Memorial Aerodrome,43.285599,-81.508301,824,NA,CA,CA-ON,Centralia,FALSE,CYCE,YCE,CYCE,NA,https://en.wikipedia.org/wiki/Centralia/Huron_Airpark,"RCAF Station Centralia, Huron Airpark"
1689,CYCG,medium_airport,Castlegar/West Kootenay Regional Airport,49.29639816,-117.6320038,1624,NA,CA,CA-BC,Castlegar,TRUE,CYCG,YCG,NA,NA,https://en.wikipedia.org/wiki/Castlegar_Airport,NA
1690,CYCH,medium_airport,Miramichi Airport,47.007801,-65.449203,108,NA,CA,CA-NB,Miramichi,TRUE,CYCH,YCH,NA,NA,https://en.wikipedia.org/wiki/Miramichi_Airport,"CFB Chatham, RCAF Station Chatham"
1364,CYCK,small_airport,Chatham Kent Airport,42.3064003,-82.08190155,650,NA,CA,CA-ON,Chatham-Kent,FALSE,CYCK,XCM,NZ3,NA,https://en.wikipedia.org/wiki/Chatham-Kent_Airport,CNZ3
1691,CYCL,medium_airport,Charlo Airport,47.990799,-66.330299,132,NA,CA,CA-NB,Charlo,TRUE,CYCL,YCL,NA,NA,https://en.wikipedia.org/wiki/Charlo_Airport,NA
1692,CYCN,medium_airport,Cochrane Airport,49.10559845,-81.01360321,861,NA,CA,CA-ON,Cochrane,FALSE,CYCN,YCN,NA,NA,https://en.wikipedia.org/wiki/Cochrane_Airport,NA
1693,CYCO,medium_airport,Kugluktuk Airport,67.816704,-115.143997,74,NA,CA,CA-NU,Kugluktuk,TRUE,CYCO,YCO,NA,NA,https://en.wikipedia.org/wiki/Kugluktuk_Airport,Copper Mine Airport
1694,CYCP,medium_airport,Blue River Airport,52.11669922,-119.2829971,2240,NA,CA,CA-BC,Blue River,FALSE,CYCP,NA,NA,NA,https://en.wikipedia.org/wiki/Blue_River_Airport,YCP
1695,CYCQ,medium_airport,Chetwynd Airport,55.68719864,-121.6269989,2000,NA,CA,CA-BC,Chetwynd,FALSE,CYCQ,YCQ,NA,NA,https://en.wikipedia.org/wiki/Chetwynd_Airport,NA
1696,CYCR,medium_airport,Cross Lake (Charlie Sinclair Memorial) Airport,54.61059952,-97.76080322,709,NA,CA,CA-MB,Cross Lake,FALSE,CYCR,YCR,NA,NA,https://en.wikipedia.org/wiki/Cross_Lake_(Charlie_Sinclair_Memorial)_Airport,NA
1697,CYCS,medium_airport,Chesterfield Inlet Airport,63.34690094,-90.73110199,32,NA,CA,CA-NU,Chesterfield Inlet,TRUE,CYCS,YCS,NA,NA,https://en.wikipedia.org/wiki/Chesterfield_Inlet_Airport,NA
1698,CYCT,small_airport,Coronation Airport,52.07500076,-111.4449997,2595,NA,CA,CA-AB,Coronation,FALSE,CYCT,YCT,NA,NA,https://en.wikipedia.org/wiki/Coronation_Airport,YCT
28111,CYCV,closed,Cartierville Airport,45.51670074,-73.71669769,120,NA,CA,CA-QC,Montreal,FALSE,CYCV,YCV,NA,NA,https://en.wikipedia.org/wiki/Cartierville_Airport,NA
1699,CYCW,small_airport,Chilliwack Airport,49.15280151,-121.939003,32,NA,CA,CA-BC,Chilliwack,FALSE,CYCW,YCW,NA,NA,https://en.wikipedia.org/wiki/Chilliwack_Airport,YCW
1700,CYCX,heliport,CFB Gagetown Heliport,45.83767805,-66.43672675,166,NA,CA,CA-NB,Gagetown,FALSE,CYCX,NA,NA,NA,https://en.wikipedia.org/wiki/CFB_Gagetown,YCX
1701,CYCY,medium_airport,Clyde River Airport,70.48609924,-68.51670074,87,NA,CA,CA-NU,Clyde River,TRUE,CYCY,YCY,NA,NA,https://en.wikipedia.org/wiki/Clyde_River_Airport,NA
1702,CYCZ,small_airport,Fairmont Hot Springs Airport,50.33029938,-115.8730011,2661,NA,CA,CA-BC,Fairmont Hot Springs,FALSE,CYCZ,YCZ,NA,NA,https://en.wikipedia.org/wiki/Fairmont_Hot_Springs_Airport,YCZ
1703,CYDA,medium_airport,Dawson City Airport,64.04309845,-139.128006,1215,NA,CA,CA-YT,Dawson City,TRUE,CYDA,YDA,NA,NA,https://en.wikipedia.org/wiki/Dawson_City_Airport,NA
1704,CYDB,medium_airport,Burwash Airport,61.37110138,-139.0410004,2647,NA,CA,CA-YT,Burwash,FALSE,CYDB,YDB,NA,NA,https://en.wikipedia.org/wiki/Burwash_Airport,NA
1705,CYDC,medium_airport,Princeton Airport,49.4681015,-120.5110016,2298,NA,CA,CA-BC,Town of Princeton,FALSE,CYDC,NA,NA,http://princetonairport.ca,https://en.wikipedia.org/wiki/Princeton_Airport_(British_Columbia),YDC
1706,CYDF,medium_airport,Deer Lake Airport,49.21080017,-57.39139938,72,NA,CA,CA-NL,Deer Lake,TRUE,CYDF,YDF,NA,NA,https://en.wikipedia.org/wiki/Deer_Lake_Airport_(Newfoundland),NA
1707,CYDH,heliport,Ottawa / Dwyer Hill Heliport,45.13059998,-75.94830322,325,NA,CA,CA-ON,Ottawa,FALSE,CYDH,NA,CYDH,NA,NA,YDH
1708,CYDL,small_airport,Dease Lake Airport,58.42219925,-130.0319977,2600,NA,CA,CA-BC,Dease Lake,FALSE,CYDL,YDL,NA,NA,https://en.wikipedia.org/wiki/Dease_Lake_Airport,YDL
1709,CYDM,medium_airport,Ross River Airport,61.97060013,-132.4230042,2314,NA,CA,CA-YT,Ross River,FALSE,CYDM,XRR,YDM,NA,https://en.wikipedia.org/wiki/Ross_River_Airport,NA
1710,CYDN,medium_airport,Dauphin Barker Airport,51.10079956,-100.052002,999,NA,CA,CA-MB,Dauphin,TRUE,CYDN,YDN,NA,NA,https://en.wikipedia.org/wiki/Dauphin_(Lt._Col_W.G._(Billy)_Barker_VC_Airport),NA
1711,CYDO,medium_airport,Dolbeau St Felicien Airport,48.7784996,-72.375,372,NA,CA,CA-QC,Dolbeau-St-Félicien,FALSE,CYDO,YDO,NA,NA,https://en.wikipedia.org/wiki/Dolbeau-St-F%C3%A9licien_Airport,Dolbeau St Methode
1712,CYDP,medium_airport,Nain Airport,56.54919815,-61.68030167,22,NA,CA,CA-NL,Nain,TRUE,CYDP,YDP,NA,NA,https://en.wikipedia.org/wiki/Nain_Airport,NA
1713,CYDQ,medium_airport,Dawson Creek Airport,55.74229813,-120.1829987,2148,NA,CA,CA-BC,Dawson Creek,TRUE,CYDQ,YDQ,NA,NA,https://en.wikipedia.org/wiki/Dawson_Creek_Airport,NA
1714,CYEA,small_airport,Empress Airport,50.93330002,-110.0130005,2211,NA,CA,CA-AB,Empress,FALSE,CYEA,NA,NA,NA,https://en.wikipedia.org/wiki/Empress_Airport,YEA
1715,CYED,heliport,Edmonton (CFB Namao) Heliport,53.667934,-113.472548,2257,NA,CA,CA-AB,Edmonton,FALSE,CYED,NA,CYED,NA,https://en.wikipedia.org/wiki/CFB_Edmonton,"YED, CFB Edmonton, Namao Airport"
1716,CYEE,medium_airport,Huronia Airport,44.68330002,-79.92829895,770,NA,CA,CA-ON,Midland,FALSE,CYEE,NA,YEE,NA,https://en.wikipedia.org/wiki/Midland/Huronia_Airport,NA
1717,CYEG,large_airport,Edmonton International Airport,53.30970001,-113.5800018,2373,NA,CA,CA-AB,Edmonton,TRUE,CYEG,YEG,CYEG,http://www.edmontonairports.com/,https://en.wikipedia.org/wiki/Edmonton_International_Airport,YEA
1718,CYEK,medium_airport,Arviat Airport,61.09420013,-94.07080078,32,NA,CA,CA-NU,Arviat,TRUE,CYEK,YEK,NA,NA,https://en.wikipedia.org/wiki/Arviat_Airport,NA
1719,CYEL,medium_airport,Elliot Lake Municipal Airport,46.35139847,-82.56140137,1087,NA,CA,CA-ON,Elliot Lake,FALSE,CYEL,YEL,NA,http://cyelont.tripod.com/cyel/,https://en.wikipedia.org/wiki/Elliot_Lake_Municipal_Airport,NA
