year,population
1851,2436297
1861,3229633
1871,3689257
1881,4324810
1891,4833239
1901,5371315
1911,7206643
1921,8787949
1931,10376786
1941,11506655
1951,14009429
1956,16080791
1961,18238247
1966,20014880
1971,21568311
1976,22992604
1981,24343000
1986,25309000
1991,27297000
1996,28847000
2001,30007000
2006,31613000
2011,33477000
