start_date_yyyymmdd,start_station_name,start_station_id,end_date_yyyymmdd,end_station_name,end_station_id,duration
2015-07-12,Grant Avenue at Columbus Avenue,73,2015-07-12,Temporary Transbay Terminal (Howard at Beale),55,589
2015-07-12,Powell at Post (Union Square),71,2015-07-12,Powell Street BART,39,1002
2015-07-12,University and Emerson,35,2015-07-12,California Ave Caltrain Station,36,841
2015-07-12,Cowper at University,37,2015-07-12,Palo Alto Caltrain Station,34,331
2015-07-12,Civic Center BART (7th at Market),72,2015-07-12,Howard at 2nd,63,1174
2015-07-12,Civic Center BART (7th at Market),72,2015-07-12,Howard at 2nd,63,1251
2015-07-12,Broadway St at Battery St,82,2015-07-12,Townsend at 7th,65,1069
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Market at 4th,76,1238
2015-07-12,2nd at Folsom,62,2015-07-12,Market at 4th,76,408
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Harry Bridges Plaza (Ferry Building),50,14300
2015-07-12,Japantown,9,2015-07-12,San Jose Civic Center,3,793
2015-07-12,Japantown,9,2015-07-12,San Jose Civic Center,3,799
2015-07-12,Embarcadero at Bryant,54,2015-07-12,Davis at Jackson,42,615
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Embarcadero at Vallejo,48,1845
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Embarcadero at Sansome,60,1164
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Harry Bridges Plaza (Ferry Building),50,14900
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Harry Bridges Plaza (Ferry Building),50,14931
2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,2015-07-12,Market at 10th,67,715
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Harry Bridges Plaza (Ferry Building),50,15120
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Harry Bridges Plaza (Ferry Building),50,15184
2015-07-12,Ryland Park,84,2015-07-12,San Jose City Hall,10,2028
2015-07-12,Embarcadero at Vallejo,48,2015-07-12,Harry Bridges Plaza (Ferry Building),50,1429
2015-07-12,Embarcadero at Folsom,51,2015-07-12,Market at 4th,76,3667
2015-07-12,2nd at Townsend,61,2015-07-12,Yerba Buena Center of the Arts (3rd @ Howard),68,442
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Embarcadero at Sansome,60,3335
2015-07-12,Clay at Battery,41,2015-07-12,Commercial at Montgomery,45,166
2015-07-12,Civic Center BART (7th at Market),72,2015-07-12,South Van Ness at Market,66,447
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Embarcadero at Sansome,60,381
2015-07-12,2nd at Folsom,62,2015-07-12,2nd at Townsend,61,282
2015-07-12,Civic Center BART (7th at Market),72,2015-07-12,Grant Avenue at Columbus Avenue,73,770
2015-07-12,Mechanics Plaza (Market at Battery),75,2015-07-12,South Van Ness at Market,66,4371
2015-07-12,Townsend at 7th,65,2015-07-12,Embarcadero at Vallejo,48,1428
2015-07-12,Market at 4th,76,2015-07-12,Market at 10th,67,496
2015-07-12,California Ave Caltrain Station,36,2015-07-12,University and Emerson,35,592
2015-07-12,St James Park,13,2015-07-12,Japantown,9,361
2015-07-12,St James Park,13,2015-07-12,Japantown,9,370
2015-07-12,San Francisco Caltrain (Townsend at 4th),70,2015-07-12,Market at 10th,67,840
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Powell at Post (Union Square),71,806
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Powell at Post (Union Square),71,814
2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,2015-07-12,Civic Center BART (7th at Market),72,820
2015-07-12,San Jose Civic Center,3,2015-07-12,St James Park,13,478
2015-07-12,San Jose Civic Center,3,2015-07-12,St James Park,13,514
2015-07-12,Japantown,9,2015-07-12,Ryland Park,84,2013
2015-07-12,Post at Kearny,47,2015-07-12,Harry Bridges Plaza (Ferry Building),50,865
2015-07-12,Post at Kearny,47,2015-07-12,Harry Bridges Plaza (Ferry Building),50,884
2015-07-12,2nd at Townsend,61,2015-07-12,2nd at Townsend,61,1608
2015-07-12,Yerba Buena Center of the Arts (3rd @ Howard),68,2015-07-12,San Francisco Caltrain (Townsend at 4th),70,455
2015-07-12,Grant Avenue at Columbus Avenue,73,2015-07-12,Yerba Buena Center of the Arts (3rd @ Howard),68,1036
2015-07-12,2nd at South Park,64,2015-07-12,San Francisco City Hall,58,1651
2015-07-12,2nd at South Park,64,2015-07-12,San Francisco City Hall,58,1676
2015-07-12,San Francisco Caltrain (Townsend at 4th),70,2015-07-12,Townsend at 7th,65,213
2015-07-12,2nd at Townsend,61,2015-07-12,Steuart at Market,74,6248
2015-07-12,2nd at Townsend,61,2015-07-12,South Van Ness at Market,66,1596
2015-07-12,Steuart at Market,74,2015-07-12,Embarcadero at Sansome,60,834
2015-07-12,2nd at Townsend,61,2015-07-12,South Van Ness at Market,66,1618
2015-07-12,Market at Sansome,77,2015-07-12,Harry Bridges Plaza (Ferry Building),50,1045
2015-07-12,Market at Sansome,77,2015-07-12,Harry Bridges Plaza (Ferry Building),50,1105
2015-07-12,San Antonio Shopping Center,31,2015-07-12,Mountain View City Hall,27,837
2015-07-12,San Antonio Shopping Center,31,2015-07-12,Mountain View City Hall,27,860
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Steuart at Market,74,855
2015-07-12,2nd at Townsend,61,2015-07-12,San Francisco City Hall,58,2139
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Market at 4th,76,1001
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Market at 4th,76,993
2015-07-12,California Ave Caltrain Station,36,2015-07-12,University and Emerson,35,1130
2015-07-12,Powell Street BART,39,2015-07-12,Powell at Post (Union Square),71,247
2015-07-12,Embarcadero at Sansome,60,2015-07-12,2nd at Townsend,61,1201
2015-07-12,2nd at Folsom,62,2015-07-12,2nd at Townsend,61,263
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Grant Avenue at Columbus Avenue,73,802
2015-07-12,Beale at Market,56,2015-07-12,Steuart at Market,74,175
2015-07-12,Market at 10th,67,2015-07-12,Powell Street BART,39,381
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Market at 4th,76,4224
2015-07-12,Grant Avenue at Columbus Avenue,73,2015-07-12,Golden Gate at Polk,59,929
2015-07-12,Steuart at Market,74,2015-07-12,Grant Avenue at Columbus Avenue,73,1199
2015-07-12,2nd at Townsend,61,2015-07-12,Steuart at Market,74,10325
2015-07-12,2nd at Townsend,61,2015-07-12,Yerba Buena Center of the Arts (3rd @ Howard),68,582
2015-07-12,Powell Street BART,39,2015-07-12,Beale at Market,56,658
2015-07-12,Embarcadero at Bryant,54,2015-07-12,2nd at Townsend,61,268
2015-07-12,Powell Street BART,39,2015-07-12,South Van Ness at Market,66,494
2015-07-12,San Francisco City Hall,58,2015-07-12,Townsend at 7th,65,899
2015-07-12,San Jose Civic Center,3,2015-07-12,San Jose Civic Center,3,1958
2015-07-12,San Jose Civic Center,3,2015-07-12,San Jose Civic Center,3,1983
2015-07-12,SJSU - San Salvador at 9th,16,2015-07-12,Japantown,9,1414
2015-07-12,San Jose City Hall,10,2015-07-12,Arena Green / SAP Center,14,674
2015-07-12,Mountain View City Hall,27,2015-07-12,San Antonio Shopping Center,31,774
2015-07-12,Mountain View City Hall,27,2015-07-12,San Antonio Shopping Center,31,815
